,Område,Tid,Indhold
230,Egedal,2008,22784
231,Egedal,2009,22101
232,Egedal,2010,21809
233,Egedal,2011,21697
234,Egedal,2012,21738
235,Egedal,2013,21645
236,Egedal,2014,21931
237,Egedal,2015,22151
238,Egedal,2016,22379
239,Egedal,2017,22529
240,Fredensborg,2008,20413
241,Fredensborg,2009,19596
242,Fredensborg,2010,19454
243,Fredensborg,2011,19431
244,Fredensborg,2012,19018
245,Fredensborg,2013,19037
246,Fredensborg,2014,19090
247,Fredensborg,2015,19374
248,Fredensborg,2016,19594
249,Fredensborg,2017,19802
250,Frederikssund,2008,23128
251,Frederikssund,2009,22172
252,Frederikssund,2010,21884
253,Frederikssund,2011,21775
254,Frederikssund,2012,21554
255,Frederikssund,2013,21509
256,Frederikssund,2014,21549
257,Frederikssund,2015,21865
258,Frederikssund,2016,22257
259,Frederikssund,2017,22500
260,Furesø,2008,19465
261,Furesø,2009,18971
262,Furesø,2010,18792
263,Furesø,2011,18659
264,Furesø,2012,18389
265,Furesø,2013,18468
266,Furesø,2014,18772
267,Furesø,2015,19438
268,Furesø,2016,19775
269,Furesø,2017,20072
270,Gribskov,2008,21088
271,Gribskov,2009,20325
272,Gribskov,2010,19940
273,Gribskov,2011,19817
274,Gribskov,2012,19565
275,Gribskov,2013,19532
276,Gribskov,2014,19579
277,Gribskov,2015,19790
278,Gribskov,2016,20005
279,Gribskov,2017,20138
280,Halsnæs,2008,15479
281,Halsnæs,2009,14646
282,Halsnæs,2010,14265
283,Halsnæs,2011,14216
284,Halsnæs,2012,14012
285,Halsnæs,2013,13954
286,Halsnæs,2014,14115
287,Halsnæs,2015,14499
288,Halsnæs,2016,14686
289,Halsnæs,2017,14766
290,Helsingør,2008,30366
291,Helsingør,2009,29148
292,Helsingør,2010,29135
293,Helsingør,2011,28848
294,Helsingør,2012,28683
295,Helsingør,2013,28768
296,Helsingør,2014,28934
297,Helsingør,2015,29416
298,Helsingør,2016,29866
299,Helsingør,2017,30049
300,Hillerød,2008,25074
301,Hillerød,2009,24352
302,Hillerød,2010,24317
303,Hillerød,2011,24440
304,Hillerød,2012,24469
305,Hillerød,2013,24583
306,Hillerød,2014,24861
307,Hillerød,2015,25397
308,Hillerød,2016,25800
309,Hillerød,2017,26154
310,Hørsholm,2008,12298
311,Hørsholm,2009,11890
312,Hørsholm,2010,11848
313,Hørsholm,2011,11599
314,Hørsholm,2012,11628
315,Hørsholm,2013,11663
316,Hørsholm,2014,11684
317,Hørsholm,2015,11810
318,Hørsholm,2016,11796
319,Hørsholm,2017,11913
320,Rudersdal,2008,26857
321,Rudersdal,2009,26313
322,Rudersdal,2010,26227
323,Rudersdal,2011,26145
324,Rudersdal,2012,26230
325,Rudersdal,2013,26398
326,Rudersdal,2014,26596
327,Rudersdal,2015,26891
328,Rudersdal,2016,27112
329,Rudersdal,2017,27203
330,Province Bornholm,2008,18986
331,Province Bornholm,2009,18270
332,Province Bornholm,2010,17842
333,Province Bornholm,2011,17897
334,Province Bornholm,2012,17343
335,Province Bornholm,2013,17008
336,Province Bornholm,2014,16945
337,Province Bornholm,2015,16894
338,Province Bornholm,2016,17297
339,Province Bornholm,2017,17332
340,Bornholm,2008,18944
341,Bornholm,2009,18225
342,Bornholm,2010,17798
343,Bornholm,2011,17851
344,Bornholm,2012,17298
345,Bornholm,2013,16969
346,Bornholm,2014,16904
347,Bornholm,2015,16855
348,Bornholm,2016,17260
349,Bornholm,2017,17289
350,Region Sjælland,2008,414992
351,Region Sjælland,2009,395714
352,Region Sjælland,2010,389125
353,Region Sjælland,2011,385111
354,Region Sjælland,2012,379463
355,Region Sjælland,2013,378970
356,Region Sjælland,2014,381940
357,Region Sjælland,2015,387408
358,Region Sjælland,2016,392924
359,Region Sjælland,2017,397327
360,Province Østsjælland,2008,124216
361,Province Østsjælland,2009,119297
362,Province Østsjælland,2010,117917
363,Province Østsjælland,2011,117745
364,Province Østsjælland,2012,116769
365,Province Østsjælland,2013,117300
366,Province Østsjælland,2014,119031
367,Province Østsjælland,2015,121292
368,Province Østsjælland,2016,123197
369,Province Østsjælland,2017,124939
370,Greve,2008,25565
371,Greve,2009,24405
372,Greve,2010,24042
373,Greve,2011,24051
374,Greve,2012,23665
375,Greve,2013,23613
376,Greve,2014,24012
377,Greve,2015,24452
378,Greve,2016,24758
379,Greve,2017,24848
380,Køge,2008,29663
381,Køge,2009,28251
382,Køge,2010,27884
383,Køge,2011,27679
384,Køge,2012,27710
385,Køge,2013,27929
386,Køge,2014,28749
387,Køge,2015,29393
388,Køge,2016,29654
389,Køge,2017,30198
390,Lejre,2008,14407
391,Lejre,2009,13922
392,Lejre,2010,13696
393,Lejre,2011,13645
394,Lejre,2012,13425
395,Lejre,2013,13441
396,Lejre,2014,13531
397,Lejre,2015,13777
398,Lejre,2016,13830
399,Lejre,2017,13987
400,Roskilde,2008,43223
401,Roskilde,2009,41749
402,Roskilde,2010,41429
403,Roskilde,2011,41471
404,Roskilde,2012,41223
405,Roskilde,2013,41416
406,Roskilde,2014,41773
407,Roskilde,2015,42575
408,Roskilde,2016,43563
409,Roskilde,2017,44204
410,Solrød,2008,11358
411,Solrød,2009,10970
412,Solrød,2010,10866
413,Solrød,2011,10899
414,Solrød,2012,10746
415,Solrød,2013,10901
416,Solrød,2014,10966
417,Solrød,2015,11095
418,Solrød,2016,11392
419,Solrød,2017,11702
420,Province Vest- og Sydsjælland,2008,290776
421,Province Vest- og Sydsjælland,2009,276417
422,Province Vest- og Sydsjælland,2010,271208
423,Province Vest- og Sydsjælland,2011,267366
424,Province Vest- og Sydsjælland,2012,262694
425,Province Vest- og Sydsjælland,2013,261670
426,Province Vest- og Sydsjælland,2014,262909
427,Province Vest- og Sydsjælland,2015,266116
428,Province Vest- og Sydsjælland,2016,269727
429,Province Vest- og Sydsjælland,2017,272388
430,Faxe,2008,18442
431,Faxe,2009,17406
432,Faxe,2010,17196
433,Faxe,2011,16953
434,Faxe,2012,16796
435,Faxe,2013,16789
436,Faxe,2014,16938
437,Faxe,2015,17258
438,Faxe,2016,17524
439,Faxe,2017,17791
440,Guldborgsund,2008,30034
441,Guldborgsund,2009,28682
442,Guldborgsund,2010,28039
443,Guldborgsund,2011,27148
444,Guldborgsund,2012,26340
445,Guldborgsund,2013,26137
446,Guldborgsund,2014,25994
447,Guldborgsund,2015,26192
448,Guldborgsund,2016,26556
449,Guldborgsund,2017,26731
450,Holbæk,2008,36048
451,Holbæk,2009,34528
452,Holbæk,2010,34045
453,Holbæk,2011,33678
454,Holbæk,2012,33227
455,Holbæk,2013,32929
456,Holbæk,2014,32977
457,Holbæk,2015,33392
458,Holbæk,2016,34163
459,Holbæk,2017,34275
460,Kalundborg,2008,24433
461,Kalundborg,2009,23056
462,Kalundborg,2010,22473
463,Kalundborg,2011,22103
464,Kalundborg,2012,21533
465,Kalundborg,2013,21493
466,Kalundborg,2014,21573
467,Kalundborg,2015,21902
468,Kalundborg,2016,22064
469,Kalundborg,2017,22285
470,Lolland,2008,20824
471,Lolland,2009,19437
472,Lolland,2010,18631
473,Lolland,2011,17969
474,Lolland,2012,17276
475,Lolland,2013,17009
476,Lolland,2014,16873
477,Lolland,2015,16767
478,Lolland,2016,16661
479,Lolland,2017,16598
480,Næstved,2008,41529
481,Næstved,2009,39519
482,Næstved,2010,38907
483,Næstved,2011,38506
484,Næstved,2012,38346
485,Næstved,2013,38467
486,Næstved,2014,38547
487,Næstved,2015,38925
488,Næstved,2016,39341
489,Næstved,2017,39855
490,Odsherred,2008,15427
